15
0	38	93	46	0	0	58	0	48	88	85	63	48	0	73
38	0	60	0	32	40	46	0	0	0	0	39	0	58	64
93	60	0	83	83	73	57	71	78	71	0	60	78	77	60
46	0	83	0	0	56	39	97	0	0	74	96	60	39	98
0	32	83	0	0	0	53	65	96	0	0	0	0	61	62
0	40	73	56	0	0	36	72	0	77	93	55	37	0	95
58	46	57	39	53	36	0	70	63	0	60	0	35	76	0
0	0	71	97	65	72	70	0	0	94	0	0	0	72	44
48	0	78	0	96	0	63	0	0	0	97	0	66	84	62
88	0	71	0	0	77	0	94	0	0	54	63	0	56	32
85	0	0	74	0	93	60	0	97	54	0	54	38	41	83
63	39	60	96	0	55	0	0	0	63	54	0	0	81	97
48	0	78	60	0	37	35	0	66	0	38	0	0	56	43
0	58	77	39	61	0	76	72	84	56	41	81	56	0	73
73	64	60	98	62	95	0	44	62	32	83	97	43	73	0

